date,disembarked
2017-01-01,101820
2017-02-01,145928
2017-03-01,213810
2017-04-01,416076
2017-05-01,501678
2017-06-01,540528
2017-07-01,620734
2017-08-01,579565
2017-09-01,546043
2017-10-01,425830
2017-11-01,125069
2017-12-01,118882
2018-01-01,100837
2018-02-01,134169
2018-03-01,227697
2018-04-01,392961
2018-05-01,498118
2018-06-01,532721
2018-07-01,593161
2018-08-01,552574
2018-09-01,534520
2018-10-01,443037
2018-11-01,145613
2018-12-01,146606
2019-01-01,123255
2019-02-01,159774
2019-03-01,219651
2019-04-01,451166
2019-05-01,517357
2019-06-01,540085
2019-07-01,605859
2019-08-01,573040
2019-09-01,537477
2019-10-01,434877
2019-11-01,148993
2019-12-01,155519
2020-01-01,110847
2020-02-01,156290
2020-03-01,87082
2020-04-01,51
2020-05-01,391
2020-06-01,23124
2020-07-01,140322
2020-08-01,209344
2020-09-01,177330
2020-10-01,111412
2020-11-01,24794
2020-12-01,36106
2021-01-01,12275
2021-02-01,3218
2021-03-01,6447
2021-04-01,20183
2021-05-01,106383
2021-06-01,146362
2021-07-01,191924
2021-08-01,287809
2021-09-01,297478
2021-10-01,346696
2021-11-01,119454
2021-12-01,92032
2022-01-01,63583
2022-02-01,126870
2022-03-01,200568
2022-04-01,404475
2022-05-01,474906
2022-06-01,494817
2022-07-01,560018
2022-08-01,504275
2022-09-01,481217
2022-10-01,445006
2022-11-01,148609
2022-12-01,160213
2023-01-01,123400
2023-02-01,172141
2023-03-01,266830
2023-04-01,465717
2023-05-01,530240
2023-06-01,558547
2023-07-01,641550
2023-08-01,594381
2023-09-01,571393
2023-10-01,514056
2023-11-01,170893
2023-12-01,178001
2024-01-01,131851
2024-02-01,187167
2024-03-01,282535
2024-04-01,444318
2024-05-01,549343
2024-06-01,585514
2024-07-01,634245
2024-08-01,599042
2024-09-01,584439
2024-10-01,515147
2024-11-01,177220
2024-12-01,184406
2025-01-01,141165
2025-02-01,190277
2025-03-01,287000
2025-04-01,516885
2025-05-01,586697
2025-06-01,611829
2025-07-01,685915
2025-08-01,623171
2025-09-01,595363
2025-10-01,531874
2025-11-01,193379
2025-12-01,196844
2026-01-01,135457
