date,building_permits
2017-01-01,199
2017-02-01,241
2017-03-01,239
2017-04-01,251
2017-05-01,245
2017-06-01,235
2017-07-01,220
2017-08-01,161
2017-09-01,183
2017-10-01,176
2017-11-01,285
2017-12-01,288
2018-01-01,343
2018-02-01,276
2018-03-01,284
2018-04-01,347
2018-05-01,362
2018-06-01,496
2018-07-01,442
2018-08-01,379
2018-09-01,324
2018-10-01,427
2018-11-01,442
2018-12-01,428
2019-01-01,276
2019-02-01,424
2019-03-01,558
2019-04-01,430
2019-05-01,309
2019-06-01,280
2019-07-01,399
2019-08-01,445
2019-09-01,459
2019-10-01,533
2019-11-01,500
2019-12-01,382
2020-01-01,377
2020-02-01,363
2020-03-01,350
2020-04-01,208
2020-05-01,232
2020-06-01,291
2020-07-01,347
2020-08-01,370
2020-09-01,325
2020-10-01,356
2021-01-01,407
2021-02-01,335
2021-03-01,677
2021-04-01,640
2021-05-01,835
2021-06-01,524
2021-07-01,482
2021-08-01,277
2021-09-01,262
2021-10-01,338
2021-11-01,389
2021-12-01,371
2022-01-01,288
2022-02-01,254
2022-03-01,288
2022-04-01,271
2022-05-01,574
2022-06-01,715
2022-07-01,760
2022-08-01,522
2022-09-01,417
2022-10-01,556
2022-11-01,621
2022-12-01,616
2023-01-01,505
2023-02-01,444
2023-03-01,499
2023-04-01,469
2023-05-01,531
2023-06-01,401
2023-07-01,388
2023-08-01,316
2023-09-01,481
2023-10-01,440
2023-11-01,506
2023-12-01,428
2024-01-01,479
2024-02-01,416
2024-03-01,353
2024-04-01,399
2024-05-01,401
2024-06-01,435
2024-07-01,439
2024-08-01,479
2024-09-01,440
2024-10-01,445
2024-11-01,430
2024-12-01,464
2025-01-01,369
2025-02-01,322
2025-03-01,364
2025-04-01,409
2025-05-01,551
2025-06-01,659
2025-07-01,617
2025-08-01,474
2025-09-01,289
2025-10-01,387
2025-11-01,515
2025-12-01,488
2026-01-01,490
