date,gtrends
2021-04-04,35
2021-04-11,34
2021-04-18,39
2021-04-25,43
2021-05-02,65
2021-05-09,61
2021-05-16,61
2021-05-23,60
2021-05-30,68
2021-06-06,63
2021-06-13,58
2021-06-20,60
2021-06-27,58
2021-07-04,61
2021-07-11,60
2021-07-18,65
2021-07-25,69
2021-08-01,78
2021-08-08,77
2021-08-15,86
2021-08-22,69
2021-08-29,65
2021-09-05,58
2021-09-12,53
2021-09-19,50
2021-09-26,50
2021-10-03,51
2021-10-10,47
2021-10-17,44
2021-10-24,43
2021-10-31,43
2021-11-07,45
2021-11-14,37
2021-11-21,30
2021-11-28,30
2021-12-05,31
2021-12-12,27
2021-12-19,25
2021-12-26,36
2022-01-02,42
2022-01-09,41
2022-01-16,40
2022-01-23,46
2022-01-30,47
2022-02-06,51
2022-02-13,72
2022-02-20,61
2022-02-27,48
2022-03-06,49
2022-03-13,51
2022-03-20,53
2022-03-27,59
2022-04-03,60
2022-04-10,61
2022-04-17,66
2022-04-24,65
2022-05-01,61
2022-05-08,60
2022-05-15,59
2022-05-22,59
2022-05-29,61
2022-06-05,63
2022-06-12,68
2022-06-19,60
2022-06-26,68
2022-07-03,72
2022-07-10,83
2022-07-17,77
2022-07-24,79
2022-07-31,78
2022-08-07,80
2022-08-14,79
2022-08-21,64
2022-08-28,59
2022-09-04,55
2022-09-11,50
2022-09-18,45
2022-09-25,41
2022-10-02,41
2022-10-09,41
2022-10-16,39
2022-10-23,36
2022-10-30,34
2022-11-06,33
2022-11-13,32
2022-11-20,28
2022-11-27,28
2022-12-04,29
2022-12-11,29
2022-12-18,28
2022-12-25,39
2023-01-01,46
2023-01-08,47
2023-01-15,47
2023-01-22,46
2023-01-29,48
2023-02-05,47
2023-02-12,58
2023-02-19,56
2023-02-26,48
2023-03-05,49
2023-03-12,51
2023-03-19,55
2023-03-26,58
2023-04-02,59
2023-04-09,58
2023-04-16,56
2023-04-23,59
2023-04-30,58
2023-05-07,55
2023-05-14,55
2023-05-21,56
2023-05-28,56
2023-06-04,61
2023-06-11,65
2023-06-18,68
2023-06-25,71
2023-07-02,76
2023-07-09,79
2023-07-16,93
2023-07-23,85
2023-07-30,83
2023-08-06,97
2023-08-13,82
2023-08-20,74
2023-08-27,69
2023-09-03,63
2023-09-10,56
2023-09-17,48
2023-09-24,47
2023-10-01,47
2023-10-08,44
2023-10-15,46
2023-10-22,40
2023-10-29,38
2023-11-05,34
2023-11-12,33
2023-11-19,34
2023-11-26,30
2023-12-03,30
2023-12-10,30
2023-12-17,30
2023-12-24,40
2023-12-31,46
2024-01-07,48
2024-01-14,49
2024-01-21,48
2024-01-28,49
2024-02-04,49
2024-02-11,72
2024-02-18,57
2024-02-25,50
2024-03-03,47
2024-03-10,51
2024-03-17,55
2024-03-24,59
2024-03-31,54
2024-04-07,51
2024-04-14,52
2024-04-21,54
2024-04-28,54
2024-05-05,49
2024-05-12,52
2024-05-19,54
2024-05-26,55
2024-06-02,59
2024-06-09,62
2024-06-16,61
2024-06-23,59
2024-06-30,63
2024-07-07,73
2024-07-14,77
2024-07-21,74
2024-07-28,73
2024-08-04,76
2024-08-11,79
2024-08-18,77
2024-08-25,65
2024-09-01,59
2024-09-08,53
2024-09-15,49
2024-09-22,47
2024-09-29,43
2024-10-06,44
2024-10-13,40
2024-10-20,38
2024-10-27,39
2024-11-03,32
2024-11-10,37
2024-11-17,33
2024-11-24,33
2024-12-01,31
2024-12-08,28
2024-12-15,30
2024-12-22,37
2024-12-29,47
2025-01-05,48
2025-01-12,47
2025-01-19,46
2025-01-26,46
2025-02-02,44
2025-02-09,48
2025-02-16,73
2025-02-23,53
2025-03-02,47
2025-03-09,46
2025-03-16,49
2025-03-23,50
2025-03-30,52
2025-04-06,51
2025-04-13,57
2025-04-20,52
2025-04-27,53
2025-05-04,50
2025-05-11,51
2025-05-18,52
2025-05-25,55
2025-06-01,57
2025-06-08,58
2025-06-15,65
2025-06-22,62
2025-06-29,64
2025-07-06,68
2025-07-13,72
2025-07-20,76
2025-07-27,80
2025-08-03,100
2025-08-10,98
2025-08-17,99
2025-08-24,84
2025-08-31,74
2025-09-07,66
2025-09-14,61
2025-09-21,63
2025-09-28,57
2025-10-05,54
2025-10-12,54
2025-10-19,52
2025-10-26,46
2025-11-02,44
2025-11-09,51
2025-11-16,46
2025-11-23,46
2025-11-30,47
2025-12-07,39
2025-12-14,41
2025-12-21,39
2025-12-28,49
2026-01-04,53
2026-01-11,56
2026-01-18,55
2026-01-25,57
2026-02-01,62
2026-02-08,56
2026-02-15,74
2026-02-22,65
2026-03-01,63
2026-03-08,66
2026-03-15,63
2026-03-22,57
2026-03-29,59
2026-04-05,44
