quarter,housing_tx_keur
2017-Q1,465015.0
2017-Q2,539459.0
2017-Q3,522682.0
2017-Q4,655522.0
2018-Q1,614718.0
2018-Q2,676893.0
2018-Q3,609153.0
2018-Q4,621717.0
2019-Q1,669517.0
2019-Q2,684034.0
2019-Q3,678547.0
2019-Q4,775392.0
2020-Q1,696205.0
2020-Q2,412644.0
2020-Q3,651496.0
2020-Q4,719731.0
2021-Q1,610304.0
2021-Q2,826780.0
2021-Q3,997596.0
2021-Q4,1170812.0
2022-Q1,1115974.0
2022-Q2,1197651.0
2022-Q3,1028325.0
2022-Q4,946037.0
2023-Q1,946956.0
2023-Q2,889013.0
2023-Q3,833681.0
2023-Q4,951330.0
2024-Q1,733155.0
2024-Q2,912339.0
2024-Q3,955863.0
2024-Q4,1100571.0
2025-Q1,1018319.0
2025-Q2,1161649.0
2025-Q3,1162433.0
2025-Q4,1248095.0
