date,lodging_revenue_keur
2017-01-01,11187.0
2017-02-01,16655.0
2017-03-01,25775.0
2017-04-01,51526.0
2017-05-01,64981.0
2017-06-01,96849.0
2017-07-01,149820.0
2017-08-01,187145.0
2017-09-01,110543.0
2017-10-01,61819.0
2017-11-01,17256.0
2017-12-01,12752.0
2018-01-01,12454.0
2018-02-01,17204.0
2018-03-01,31915.0
2018-04-01,49434.0
2018-05-01,69704.0
2018-06-01,101444.0
2018-07-01,156766.0
2018-08-01,197448.0
2018-09-01,116487.0
2018-10-01,65466.0
2018-11-01,18713.0
2018-12-01,14981.0
2019-01-01,14279.0
2019-02-01,18258.0
2019-03-01,29911.0
2019-04-01,58430.0
2019-05-01,71726.0
2019-06-01,109558.0
2019-07-01,164686.0
2019-08-01,213591.0
2019-09-01,124376.0
2019-10-01,67967.0
2019-11-01,20423.0
2019-12-01,16410.0
2020-01-01,14937.0
2020-02-01,21317.0
2020-03-01,14963.0
2020-04-01,520.0
2020-05-01,902.0
2020-06-01,13478.0
2020-07-01,54506.0
2020-08-01,121857.0
2020-09-01,66425.0
2020-10-01,27351.0
2020-11-01,5544.0
2020-12-01,4663.0
2021-01-01,2809.0
2021-02-01,1505.0
2021-03-01,2200.0
2021-04-01,5091.0
2021-05-01,24242.0
2021-06-01,60900.0
2021-07-01,90242.0
2021-08-01,187490.0
2021-09-01,96914.0
2021-10-01,66892.0
2021-11-01,21397.0
2021-12-01,12300.0
2022-01-01,10092.0
2022-02-01,18113.0
2022-03-01,29343.0
2022-04-01,65735.0
2022-05-01,83492.0
2022-06-01,127677.0
2022-07-01,199413.0
2022-08-01,246756.0
2022-09-01,138148.0
2022-10-01,82280.0
2022-11-01,25640.0
2022-12-01,18983.0
2023-01-01,17300.0
2023-02-01,25276.0
2023-03-01,41454.0
2023-04-01,80558.0
2023-05-01,97192.0
2023-06-01,137249.0
2023-07-01,209684.0
2023-08-01,260097.0
2023-09-01,155208.0
2023-10-01,97829.0
2023-11-01,29977.0
2023-12-01,22626.0
2024-01-01,20229.0
2024-02-01,29200.0
2024-03-01,52136.0
2024-04-01,76491.0
2024-05-01,109646.0
2024-06-01,152414.0
2024-07-01,219080.0
2024-08-01,277117.0
2024-09-01,169230.0
2024-10-01,103928.0
2024-11-01,32404.0
2024-12-01,24914.0
2025-01-01,21551.0
2025-02-01,28966.0
2025-03-01,45951.0
2025-04-01,89576.0
2025-05-01,114474.0
2025-06-01,164854.0
2025-07-01,240259.0
2025-08-01,292620.0
2025-09-01,175699.0
2025-10-01,111549.0
2025-11-01,37007.0
2025-12-01,27339.0
2026-01-01,21814.0
2026-02-01,29563.0
