date,revenue_keur
2017-01-01,17052.0
2017-02-01,24977.0
2017-03-01,39709.0
2017-04-01,73956.0
2017-05-01,92278.0
2017-06-01,128840.0
2017-07-01,189978.0
2017-08-01,230759.0
2017-09-01,145321.0
2017-10-01,88511.0
2017-11-01,26736.0
2017-12-01,20116.0
2018-01-01,18242.0
2018-02-01,26138.0
2018-03-01,46824.0
2018-04-01,72161.0
2018-05-01,99501.0
2018-06-01,136706.0
2018-07-01,199382.0
2018-08-01,244364.0
2018-09-01,153222.0
2018-10-01,94960.0
2018-11-01,29176.0
2018-12-01,23855.0
2019-01-01,22218.0
2019-02-01,27760.0
2019-03-01,45415.0
2019-04-01,84815.0
2019-05-01,103192.0
2019-06-01,147560.0
2019-07-01,208937.0
2019-08-01,265061.0
2019-09-01,164951.0
2019-10-01,98030.0
2019-11-01,31500.0
2019-12-01,26306.0
2020-01-01,22377.0
2020-02-01,32530.0
2020-03-01,21971.0
2020-04-01,541.0
2020-05-01,951.0
2020-06-01,17404.0
2020-07-01,70322.0
2020-08-01,152806.0
2020-09-01,87063.0
2020-10-01,38997.0
2020-11-01,8597.0
2020-12-01,8006.0
2021-01-01,3949.0
2021-02-01,1831.0
2021-03-01,2617.0
2021-04-01,6664.0
2021-05-01,34034.0
2021-06-01,82446.0
2021-07-01,116467.0
2021-08-01,230511.0
2021-09-01,127682.0
2021-10-01,95599.0
2021-11-01,32609.0
2021-12-01,18810.0
2022-01-01,15581.0
2022-02-01,27098.0
2022-03-01,44122.0
2022-04-01,95954.0
2022-05-01,121410.0
2022-06-01,173793.0
2022-07-01,256270.0
2022-08-01,309898.0
2022-09-01,185729.0
2022-10-01,121870.0
2022-11-01,39689.0
2022-12-01,30090.0
2023-01-01,25711.0
2023-02-01,37957.0
2023-03-01,60887.0
2023-04-01,116737.0
2023-05-01,137677.0
2023-06-01,183317.0
2023-07-01,267689.0
2023-08-01,324645.0
2023-09-01,206383.0
2023-10-01,141597.0
2023-11-01,45851.0
2023-12-01,34879.0
2024-01-01,29789.0
2024-02-01,42185.0
2024-03-01,74851.0
2024-04-01,110902.0
2024-05-01,155405.0
2024-06-01,203128.0
2024-07-01,279013.0
2024-08-01,345367.0
2024-09-01,222631.0
2024-10-01,147758.0
2024-11-01,49755.0
2024-12-01,37369.0
2025-01-01,31100.0
2025-02-01,42250.0
2025-03-01,67265.0
2025-04-01,128794.0
2025-05-01,162125.0
2025-06-01,218535.0
2025-07-01,304130.0
2025-08-01,366106.0
2025-09-01,229719.0
2025-10-01,161563.0
2025-11-01,55446.0
2025-12-01,41849.0
2026-01-01,31981.0
2026-02-01,43962.0
